"Trt.y","TPA","BA","QMD","FuelLoading"
"70BA",60,76.3080776528571,16.4359935727484,4.65339285714286
"90BA",61.4285714285714,68.6036622375,15.6407855455873,1.87571428571429
"Control",105.714285714286,97.7600287671428,13.8540560735141,7.42428571428571
