Plot,Location,Plot_Size,Species,Above_BH,Decay_Class,Count,Density,Notes,,,,,,
65,15,1,QUGA,A,,3,3,,,,,,,
65,15,1,AMAL2,B,,39,39,,,,,,,
65,15,1,AMAL2,A,,2,2,,,,,,,
65,30,1,QUGA,B,,30,30,,,,,,,
65,30,1,QUGA,A,,3,3,,,,,,,
65,30,1,AMAL2,B,,40,40,,,,,,,
47,0,1,QUGA,B,,37,37,,,,,,,
47,0,1,AMAL2,A,,6,6,,,,,,,
47,0,1,SYLA,A,,1,1,,,,,,,
47,15,1,QUGA,B,,42,42,,,,,,,
47,15,1,AMAL2,B,,10,10,,,,,,,
47,30,1,QUGA,A,,5,5,,,,,,,
47,30,1,QUGA,B,,23,23,,,,,,,
25,0,1,QUGA,A,,6,6,,,,,,,
25,0,1,QUGA,B,,32,32,,,,,,,
25,0,1,AMAL2,B,,33,33,,,,,,,
25,0,1,SYLA,B,,47,47,,,,,,,
25,0,1,AMAL2,A,,5,5,,,,,,,
25,15,1,SYLA,B,,10,10,,,,,,,
25,15,1,QUGA,B,,31,31,,,,,,,
25,15,1,QUGA,A,,4,4,,,,,,,
25,15,1,AMAL2,B,,3,3,,,,,,,
25,30,1,AMAL2,A,,42,42,,,,,,,
25,30,1,AMAL2,B,,112,112,,,,,,,
25,30,1,SYLA,B,,74,74,,,,,,,
25,30,1,QUGA,B,,14,14,,,,,,,
25,30,1,QUGA,A,,3,3,,,,,,,
45,0,1,QUGA,B,,19,19,,,,,,,
45,0,1,AMAL2,B,,11,11,,,,,,,
45,15,1,QUGA,A,,1,1,,,,,,,
45,15,1,QUGA,B,,25,25,,,,,,,
45,15,1,AMAL2,B,,48,48,,,,,,,
45,30,1,QUGA,A,,4,4,,,,,,,
45,30,1,QUGA,B,,8,8,,,,,,,
45,30,1,PRVI,B,,12,12,,,,,,,
45,30,1,AMAL2,B,,11,11,,,,,,,
60,0,1,PIPO,B,,3,3,,,,,,,
60,0,1,QUGA,A,,6,6,,,,,,,
60,0,1,QUGA,B,,21,21,,,,,,,
60,0,1,AMAL2,A,,2,2,,,,,,,
60,0,1,AMAL2,B,,3,3,,,,,,,
60,15,1,AMAL2,B,,2,2,,,,,,,
60,30,1,NA,NA,,NA,0,BENEATH LOG DECK. SOME OAK.,,,,,,
62,0,1,QUGA,B,,22,22,,,,,,,
62,0,1,QUGA,A,,6,6,,,,,,,
62,0,1,AMAL2,B,,16,16,,,,,,,
62,0,1,AMAL2,A,,2,2,,,,,,,
62,15,1,QUGA,B,,38,38,,,,,,,
62,15,1,QUGA,A,,2,2,,,,,,,
62,15,1,AMAL2,B,,23,23,,,,,,,
62,15,1,AMAL2,A,,6,6,,,,,,,
62,30,1,QUGA,B,,62,62,,,,,,,
62,30,1,QUGA,A,,2,2,,,,,,,
62,30,1,AMAL2,B,,11,11,,,,,,,
61,0,1,AMAL2,A,,12,12,,,,,,,
61,0,1,AMAL2,B,,31,31,,,,,,,
61,0,1,PIPO,A,,1,1,,,,,,,
61,0,1,QUGA,B,,4,4,,,,,,,
61,15,1,AMAL2,B,,8,8,,,,,,,
61,15,1,QUGA,B,,3,3,,,,,,,
61,15,1,QUGA,A,,1,1,,,,,,,
61,30,1,QUGA,B,,16,16,,,,,,,
61,30,1,QUGA,A,,2,2,,,,,,,
61,30,1,AMAL2,B,,18,18,,,,,,,
61,30,1,AMAL2,A,,12,12,,,,,,,
63,0,1,QUGA,B,,32,32,,,,,,,
63,0,1,AMAL2,B,,13,13,,,,,,,
63,15,1,QUGA,A,,9,9,,,,,,,
63,15,1,QUGA,B,,36,36,,,,,,,
63,15,1,AMAL2,B,,57,57,,,,,,,
63,30,1,QUGA,A,,6,6,,,,,,,
63,30,1,QUGA,B,,7,7,,,,,,,
63,30,1,AMAL2,B,,9,9,,,,,,,
63,30,1,PIPO,A,,1,1,,,,,,,
43,0,1,QUGA,B,,15,15,,,,,,,
43,0,1,QUGA,B,,11,11,,,,,,,
43,0,1,PRVI,B,,7,7,,,,,,,
43,0,1,AMAL2,B,,8,8,,,,,,,
43,15,1,QUGA,B,,12,12,,,,,,,
43,15,1,QUGA,A,,1,1,,,,,,,
43,15,1,AMAL2,B,,8,8,,,,,,,
43,30,1,QUGA,B,,19,19,,,,,,,
43,30,1,QUGA,A,,9,9,,,,,,,
43,30,1,PIPO,A,,1,1,,,,,,,
43,30,1,AMAL2,B,,3,3,,,,,,,
44,0,1,QUGA,B,,68,68,,,,,,,
44,15,1,QUGA,B,,12,12,,,,,,,
44,30,1,AMAL2,B,,7,7,,,,,,,
44,30,1,AMAL2,A,,2,2,,,,,,,
44,30,1,QUGA,B,,3,3,,,,,,,
56,0,1,QUGA,B,,21,21,,,,,,,
56,0,1,QUGA,A,,6,6,,,,,,,
56,0,1,AMAL2,B,,7,7,,,,,,,
56,0,1,AMAL2,A,,5,5,,,,,,,
56,15,1,AMAL2,B,,4,4,,,,,,,
56,15,1,AMAL2,A,,11,11,,,,,,,
56,15,1,QUGA,B,,9,9,,,,,,,
56,30,1,AMAL2,B,,31,31,,,,,,,
56,30,1,PRVI,B,,18,18,,,,,,,
56,30,1,AMAL2,A,,3,3,,,,,,,
57,0,1,QUGA,B,,28,28,,,,,,,
57,0,1,QUGA,A,,9,9,,,,,,,
57,0,1,AMAL2,B,,26,26,,,,,,,
57,15,1,QUGA,B,,23,23,,,,,,,
57,15,1,QUGA,A,,5,5,,,,,,,
57,15,1,AMAL2,B,,32,32,,,,,,,
57,30,1,QUGA,B,,42,42,,,,,,,
57,30,1,QUGA,A,,3,3,,,,,,,
57,30,1,AMAL2,B,,27,27,,,,,,,
59,0,0.5,QUGA,B,,7,14,,,,,,,
59,0,0.5,QUGA,A,,8,16,,,,,,,
59,0,0.5,AMAL2,B,,41,82,,,,,,,
59,0,0.5,AMAL2,A,,9,18,,,,,,,
59,15,1,AMAL2,B,,28,28,,,,,,,
59,15,1,QUGA,B,,13,13,,,,,,,
59,30,1,AMAL2,B,,36,36,,,,,,,
58,0,1,QUGA,B,,10,10,,,,,,,
58,0,1,AMAL2,B,,13,13,,,,,,,
58,15,1,QUGA,B,,24,24,,,,,,,
58,15,1,QUGA,A,,3,3,,,,,,,
58,15,1,AMAL2,B,,28,28,,,,,,,
58,15,1,AMAL2,A,,8,8,,,,,,,
58,30,0.5,QUGA,B,,6,12,,,,,,,
58,30,0.5,QUGA,A,,8,16,,,,,,,
58,30,0.5,AMAL2,B,,43,86,,,,,,,
58,30,0.5,AMAL2,A,,4,8,,,,,,,
55,0,1,QUGA,B,,3,3,,,,,,,
55,0,1,QUGA,A,,3,3,,,,,,,
55,0,1,AMAL2,B,,44,44,,,,,,,
