ObjectID,GlobalID,Project,Phase,Treatments,Monitoring,Block,Unit,Plot,BEST_Treat,Tree Number,Species,Decay Class,Tree Damage Code,Damage Agent,Beetle,Cone Production,Shrubs under trees,Diameter Units,DBH,DBH_in,BA,Height Units,Height,Crown Base Height,CR,Max Crown Scorch Ht,Max Stem Char Ht,Notes,ParentGlobalID,CreationDate,Creator,EditDate,Editor
1663,b67990af-fa60-4932-bd58-c9af2773bec0,LonePine,Pre,STS,No,Canyon_creek,,176,NA,,PIPO,M,I,BB,BPT,,,cm,55,21.65354331,2.557249364,,59,,,,,,0c25bb24-1546-4712-8f35-e4785295b9ce,8/16/2020 17:26,MSI.swindell,8/16/2020 17:26,MSI.swindell
724,eb2aa97f-280c-4419-a826-12fb0addfe0e,LonePine,Pre,LTR,No,Bradfield,,56,70_BA,,PIPO,M,I,BB,BPT,,>half,cm,54,21.25984252,2.46510385,ft,45,6,86.66666667,,,,9926c657-6017-4cf7-8d8e-ff1dfc702429,7/23/2020 14:49,MSI.swindell,7/23/2020 14:49,MSI.swindell
1894,329a81e3-1b73-4bfd-a036-1e646ccc3ea9,LonePine,Pre,STS,No,Canyon_creek,,179,NA,,QUGA,M,I,BB,BPT,None,>half,cm,16.6,6.535433071,0.232950623,,12,,,,,LEANER,8e4cd2d2-b8f0-4a54-ad75-5bb33e3c2e78,8/16/2020 20:49,MSI.swindell,8/16/2020 20:49,MSI.swindell
2428,543d758d-fd3a-48c0-a822-506ea534327f,LonePine,Pre,LTR,No,glade_canyon,,200,NA,,PIPO,M,I,BB,BPT,None,<half,cm,52,20.47244094,2.285885052,ft,48.5,30,38.1443299,,,,5cf72e26-9c92-4b1e-83f2-ab07f453eb85,8/27/2020 18:37,MSI.swindell,8/27/2020 18:37,MSI.swindell
522,5ee53f20-2eaa-4c65-842e-89526ec68abb,LonePine,Pre,STS,No,Wolfden,,149,NA,6,PIPO,M,I,BB,BPT,None,>half,cm,51.8,20.39370079,2.268335135,ft,66,,,,,,2dc79ac4-bbb9-4783-a506-4a748b5a9586,7/17/2020 3:54,MSI.forest,7/17/2020 3:54,MSI.forest
2933,0e97bf55-c95d-41f9-8f4e-9dab76a39722,LonePine,Pre,STS,No,Ormiston,,315,NA,,PIPO,M,I,BB,BPT,None,>half,cm,51.8,20.39370079,2.268335135,,69,,,,,,a5f4af89-7c0d-4d1a-9450-738bc6b673b0,9/17/2020 20:08,MSI.swindell,9/17/2020 20:08,MSI.swindell
2430,863c5858-abc4-46fb-a098-4cb285d0544d,LonePine,Pre,LTR,No,glade_canyon,,200,NA,,PIPO,M,I,BB,BPT,None,<half,cm,50.3,19.80314961,2.138866461,ft,53,16,69.81132075,,,,5cf72e26-9c92-4b1e-83f2-ab07f453eb85,8/27/2020 18:37,MSI.swindell,8/27/2020 18:37,MSI.swindell
2186,f361bf34-4f72-4d4d-82e3-644b9231533b,LonePine,Pre,Control,Yes,Wolf_den,,232,NA,,PIPO,L,I,BB,BPT,None,>half,cm,50.2,19.76377953,2.130370476,ft,51.6,17.2,66.66666667,,,SUPER FADER,9ca6f398-8aa5-4a53-a30f-20106d16d7d5,8/22/2020 17:55,MSI.swindell,8/22/2020 17:55,MSI.swindell
967,4e703c2b-d666-4363-af25-cfb2c057d862,LonePine,Pre,Control,Yes,Best,,28,NA,,PIPO,M,I,BB,BPT,None,<half,cm,46.8,18.42519685,1.851566892,ft,48.6,,,,,,f1e1b435-e416-4285-9067-b5287d7bfe6e,7/23/2020 14:51,MSI.swindell,7/23/2020 14:51,MSI.swindell
2415,9160cad7-56c9-4c00-a3da-d4167c3f0964,LonePine,Pre,LTR,No,glade_canyon,,200,NA,,PIPO,M,I,BB,BPT,None,<half,cm,45.7,17.99212598,1.765550322,ft,57.8,39.8,31.14186851,,,,5cf72e26-9c92-4b1e-83f2-ab07f453eb85,8/27/2020 18:37,MSI.swindell,8/27/2020 18:37,MSI.swindell
2187,250cf1dc-a03d-4c02-b337-3b851eafa563,LonePine,Pre,Control,Yes,Wolf_den,,232,NA,,PIPO,M,I,BB,BPT,None,>half,cm,45.6,17.95275591,1.757832079,,62.3,,,,,,9ca6f398-8aa5-4a53-a30f-20106d16d7d5,8/22/2020 17:55,MSI.swindell,8/22/2020 17:55,MSI.swindell
1667,dd0a0fbe-925c-4977-95f8-3d7744ad5b85,LonePine,Pre,STS,No,Canyon_creek,,176,NA,,PIPO,M,I,BB,BPT,,>half,cm,45,17.71653543,1.711877674,,52,,,,,,0c25bb24-1546-4712-8f35-e4785295b9ce,8/16/2020 17:26,MSI.swindell,8/16/2020 17:26,MSI.swindell
2188,515e61c3-b05f-4a9f-8204-5ba31d72f83d,LonePine,Pre,Control,Yes,Wolf_den,,232,NA,,PIPO,M,I,BB,BPT,None,>half,cm,44.8,17.63779528,1.696694798,,52.6,,,,,,9ca6f398-8aa5-4a53-a30f-20106d16d7d5,8/22/2020 17:55,MSI.swindell,8/22/2020 17:55,MSI.swindell
2640,515b41d1-f34e-423a-82b0-2cbdc9e8f3d0,LonePine,Pre,Control,Yes,Lake_canyon,BR12,291,NA,,PIPO,M,,,BPT,None,<half,cm,44,17.32283465,1.636639593,ft,52.7,22.2,57.87476281,,,,f7d182bd-251e-444b-bb18-8431e5d2ef82,9/7/2020 15:57,MSI.swindell,9/7/2020 15:57,MSI.swindell
1661,80a10179-3c2c-49d6-8d60-53cc98b6135c,LonePine,Pre,STS,No,Canyon_creek,,176,NA,,PIPO,M,I,BB,BPT,,<half,cm,44,17.32283465,1.636639593,,56,,,,,,0c25bb24-1546-4712-8f35-e4785295b9ce,8/16/2020 17:26,MSI.swindell,8/16/2020 17:26,MSI.swindell
1664,475f760d-7a32-4581-a3c9-ffbe7c41e6d9,LonePine,Pre,STS,No,Canyon_creek,,176,NA,,PIPO,M,I,BB,BPT,,,cm,44,17.32283465,1.636639593,,69,,,,,,0c25bb24-1546-4712-8f35-e4785295b9ce,8/16/2020 17:26,MSI.swindell,8/16/2020 17:26,MSI.swindell
1404,400fd822-b9dd-4282-941d-12925e396999,LonePine,Pre,LTR,No,lake_canyon,,44,90_BA,,PIPO,M,I,BB,BPT,None,>half,cm,43.6,17.16535433,1.607017769,ft,47.9,,,,,,7a8d7345-dd4e-45b4-af5a-53639c638111,7/30/2020 21:21,MSI.swindell,7/30/2020 21:21,MSI.swindell
2419,83c52d13-6b35-415f-92ec-4809a5a3ec6a,LonePine,Pre,LTR,No,glade_canyon,,200,NA,,PIPO,M,I,BB,BPT,None,<half,cm,43.1,16.96850394,1.570370906,ft,58.9,35,40.57724958,,,,5cf72e26-9c92-4b1e-83f2-ab07f453eb85,8/27/2020 18:37,MSI.swindell,8/27/2020 18:37,MSI.swindell
2034,82d5392b-9ffe-4998-b0ad-cf0d1655daeb,LonePine,Pre,Control,Yes,Narraguinnep,,251,NA,,PIPO,M,I,BB,BPT,None,>half,cm,42.5,16.73228346,1.526952616,ft,46.2,,,,,,33ca0df7-4c50-4f2d-89fd-d3b016949d2c,8/22/2020 17:53,MSI.swindell,8/22/2020 17:53,MSI.swindell
2529,c5b66a2b-122d-449a-805e-5dbb85ccd401,LonePine,Pre,Control,Yes,glade_canyon,,24,NA,,PIPO,L,I,BB,BPT,,None,cm,41.5,16.33858268,1.455941394,ft,62,,,,,,bd4f8c0f-5e0d-4fd4-86f5-7957e3fd6e63,8/27/2020 18:38,MSI.swindell,8/27/2020 18:38,MSI.swindell
2514,5b198aa4-d37e-450b-b6e4-99fe26245272,LonePine,Pre,Control,Yes,glade_canyon,,24,NA,,PIPO,D,I,BB,BPT,None,>half,cm,32.8,12.91338583,0.90948468,ft,40.3,,,,,,bd4f8c0f-5e0d-4fd4-86f5-7957e3fd6e63,8/27/2020 18:38,MSI.swindell,8/27/2020 18:38,MSI.swindell
2498,6dcc2110-fa43-4a86-8c76-752a3ec9a19b,LonePine,Pre,Control,Yes,glade_canyon,,22,NA,,PIPO,M,,,BPT,None,>half,cm,41.2,16.22047244,1.434967723,ft,68,,,,,,de57c9f6-1bc1-4b41-b50b-9a7d7461f1a8,8/27/2020 18:38,MSI.swindell,8/27/2020 18:38,MSI.swindell
1660,f48c2944-8d13-47be-b3cf-4a26d0552bd3,LonePine,Pre,STS,No,Canyon_creek,,176,NA,,PIPO,M,I,BB,BPT,,<half,cm,41,16.14173228,1.421069812,,56,,,,,,0c25bb24-1546-4712-8f35-e4785295b9ce,8/16/2020 17:26,MSI.swindell,8/16/2020 17:26,MSI.swindell
637,75acafa1-decc-4faa-8237-2e846024c99f,LonePine,Pre,LTR,No,Bradfield,,62,90_BA,,PIPO,D,I,BB,BPT,None,>half,cm,37.9,14.92125984,1.21430035,,53.7,,,,,,9dd3c3cf-74c5-4f44-8f3e-d2854a15acae,7/23/2020 14:49,MSI.swindell,7/23/2020 14:49,MSI.swindell
980,f69b29df-b77b-4550-9e6b-5217b1dda0ec,LonePine,Pre,Control,No,Best,,31,NA,,PIPO,M,I,BB,BPT,None,>half,cm,38.6,15.19685039,1.259570004,ft,48.4,,,,,,ebbb5439-2d34-4b6d-ba12-3a80891a627b,7/23/2020 14:51,MSI.swindell,7/23/2020 14:51,MSI.swindell
992,7d21ddaf-4dde-4a7a-8318-7bdb79e05fa6,LonePine,Pre,Control,No,Best,,31,NA,,PIPO,M,I,BB,BPT,None,>half,cm,38.6,15.19685039,1.259570004,ft,48.4,,,,,,a87e12fe-1112-45dc-b1df-355731f735f2,7/23/2020 14:52,MSI.swindell,7/23/2020 14:52,MSI.swindell
924,b5c5ba6d-dfe3-4579-8186-3a082aea538f,LonePine,Pre,LTR,No,Best,,54,70_BA,,PIPO,M,I,BB,BPT,None,>half,cm,38.5,15.15748031,1.253052189,,54.5,,,,,,68c2701f-6798-446d-be5a-321c33f0d8d1,7/23/2020 14:51,MSI.swindell,7/23/2020 14:51,MSI.swindell
2185,d186c831-25ba-4987-b55e-837694674645,LonePine,Pre,Control,Yes,Wolf_den,,232,NA,,PIPO,L,I,BB,BPT,None,>half,cm,38,14.96062992,1.220716721,ft,61.8,28.6,53.72168285,,,Super fader,9ca6f398-8aa5-4a53-a30f-20106d16d7d5,8/22/2020 17:55,MSI.swindell,8/22/2020 17:55,MSI.swindell
1650,0b8c5f8d-c23a-4704-8cd7-0f7d6f8a445b,LonePine,Pre,STS,No,Canyon_creek,,176,NA,,PIPO,M,I,BB,BPT,,<half,cm,37,14.56692913,1.157313845,,54,,,,,,0c25bb24-1546-4712-8f35-e4785295b9ce,8/16/2020 17:26,MSI.swindell,8/16/2020 17:26,MSI.swindell
2363,c28f8e60-9953-4b3f-af50-c3efe1d223b7,LonePine,Pre,Control,Yes,lake_canyon,,216,NA,,PIPO,M,I,BB,BPT,None,<half,cm,36.7,14.4488189,1.138622677,ft,48.6,,,,,,6b90b157-7510-4c53-8a77-9942f8a586ee,8/27/2020 18:36,MSI.swindell,8/27/2020 18:36,MSI.swindell
2033,9aa6d42b-07e2-4549-a187-4900855607ca,LonePine,Pre,Control,Yes,Narraguinnep,,251,NA,,PIPO,M,I,BB,BPT,None,>half,cm,36.2,14.2519685,1.107808878,,38.7,,,,,,33ca0df7-4c50-4f2d-89fd-d3b016949d2c,8/22/2020 17:53,MSI.swindell,8/22/2020 17:53,MSI.swindell
1855,75dc390c-4f75-4eed-b870-6e2ade5bae03,LonePine,Pre,Control,Yes,Canyon_creek,,70,NA,,PIPO,L,,,BPT,None,None,cm,36.2,14.2519685,1.107808878,ft,50.7,26.2,48.3234714,,,,1780e506-dc5e-4ab0-ab45-2ac687c6a09a,8/16/2020 20:48,MSI.swindell,8/16/2020 20:48,MSI.swindell
2429,8f4e909a-00c5-4fdf-91c7-d0290fb4209b,LonePine,Pre,LTR,No,glade_canyon,,200,NA,,PIPO,M,I,BB,BPT,None,<half,cm,36.1,14.21259843,1.101696841,ft,46.2,10.3,77.70562771,,,,5cf72e26-9c92-4b1e-83f2-ab07f453eb85,8/27/2020 18:37,MSI.swindell,8/27/2020 18:37,MSI.swindell
1666,462fb1d6-7194-4c75-ae6a-eb30f015b1ac,LonePine,Pre,STS,No,Canyon_creek,,176,NA,,PIPO,M,I,BB,BPT,,<half,cm,36,14.17322835,1.095601711,,62,,,,,,0c25bb24-1546-4712-8f35-e4785295b9ce,8/16/2020 17:26,MSI.swindell,8/16/2020 17:26,MSI.swindell
2032,0db490ad-f419-4c46-becc-39e8cc183425,LonePine,Pre,Control,Yes,Narraguinnep,,251,NA,,PIPO,M,I,BB,BPT,None,>half,cm,35.8,14.09448819,1.083462174,,34.2,16.1,52.92397661,,,,33ca0df7-4c50-4f2d-89fd-d3b016949d2c,8/22/2020 17:53,MSI.swindell,8/22/2020 17:53,MSI.swindell
170,6cee4a1f-aab0-4395-8ff4-84217bbcd319,LonePine,Pre,Control,Yes,Wolf_den,,5,NA,8,PIPO,D,,,BPT,None,>half,cm,50,19.68503937,2.113429227,,54.5,2.8,94.86238532,,,,fa9b7ea6-60a8-4ac9-a1f7-e0b515730b9a,7/16/2020 22:04,MSI.swindell,7/16/2020 22:04,MSI.swindell
