Plot,Location,Bare_Ground,LitterDuff,Rock,Gravel,LichenMoss,Woody_Basal,FWD,CWD,Total,hr1,hr10,hr100,Total2,Graminoinds,Forbs,Shrubs,Seedlings
25,22.5,0,90,0,0,0,0,8,2,100,0.13,0.23,0,0.36,0,0,32,0
43,0,0,96,0,0,0,1,1,2,100,0.13,0.05,0,0.18,1,0,21,0
44,7.5,7,77,0,0,0,0,1,15,100,0.13,0.32,4,4.45,1,1,1,0
45,22.5,0,91,0,0,0,1,5,3,100,0.13,0.13,0,0.26,0,3,16,0
45,30,0,95,0,0,0,1,3,1,100,0.13,0,0,0.13,1,0,15,4
47,7.5,87,11,1,0,0,0,0,1,100,0.13,0.05,0.13,0.31,1,6,1,0
60,22.5,75,5,0,0,0,0,9,11,100,0.13,0.13,3.15,3.41,0,3,1,0
61,0,0,89,0,0,0,1,7,3,100,0.13,0.13,1,1.26,1,0,15,0
62,30,1,63,0,0,0,0,4,32,100,0.13,0.13,4.5,4.76,1,0,0,0
63,7.5,12,83,0,0,0,1,3,1,100,0.13,0.13,0,0.26,1,3,12,0
63,30,0,92,0,0,0,0,5,3,100,0.13,0.13,0,0.26,1,0,1,0
64,7.5,0,97,0,0,0,1,1,1,100,0.13,0.05,0,0.18,1,1,58,0
64,22.5,0,88,0,0,0,0,10,2,100,0.13,0.05,1.35,1.53,5,1,1,0
49,0m,0,82,0,0,0,0,13,5,100,0.13,0.08,0.32,0.53,4,4,3,0
51,30m,20,52,0,0,0,2,8,18,100,0.13,0.23,1,1.36,0,3,15,0
52,22.5m,88,5,0,0,0,0,3,4,100,0.13,0.05,0.3,0.48,0,7,0,0
40,7.5m,3,91,0,0,0,0,1,5,100,0.13,0.23,0,0.36,1,5,5,0
48,7.5m,0,94,0,0,0,2,1,3,100,0.13,0,0,0.13,0,1,60,0
41,30m,57,40,0,0,0,0,1,2,100,0.13,0.05,0,0.18,2,5,2,0
41,0m,10,79,0,0,0,0,1,10,100,0.13,0.45,0.23,0.81,2,1,0,0
42,0m,0,90,0,0,0,7,1,2,100,0.13,0.23,0,0.36,,,40,
42,7.5m,1,91,0,0,0,3,1,4,100,0.13,0.23,,0.36,1,1,12,
42,30m,15,65,0,0,0,0,5,15,100,0.13,1,0.45,1.58,1,2,2,
46,0m,5,91,0,0,0,1,1,2,100,0.13,0.13,0,0.26,1,10,25,0
26,22.5m,0,94,0,0,0,3,1,2,100,0.1,0.17,0.32,0.59,0,5,55,0
26,0m,0,95,0,0,1,1,2,1,100,0.07,0.1,0,0.17,,7,35,0
28,30,4,92,0,0,0,1,1,2,100,0.05,0.05,0,0.1,1,0,30,0
43,7.5,0,86,4,0,0,2,5,3,100,0.05,1.13,0,1.18,1,2,28,0
44,22.5,6,80,0,0,0,0,3,11,100,0.05,0.13,2.25,2.43,0,0,11,0
47,22.5,1,97,0,0,0,2,0,0,100,0.05,0,0,0.05,0,1,68,0
60,0,0,84,0,0,0,0,13,3,100,0.05,1.35,0,1.4,0,0,0,0
60,7.5,1,97,0,0,0,1,0,1,100,0.05,0.13,0,0.18,1,4,17,0
61,7.5,11,79,0,0,0,0,1,9,100,0.05,0.32,2.25,2.62,0,3,0,0
62,22.5,0,86,0,0,0,0,9,5,100,0.05,1.2,0,1.25,0,1,7,0
63,0,61,28,0,0,0,0,7,4,100,0.05,0.45,0.45,0.95,1,0,13,0
65,0,88,9,0,0,0,0,3,0,100,0.05,0,0,0.05,2,2,0,0
65,7.5,60,36,0,0,0,0,3,1,100,0.05,0.05,0,0.1,2,2,0,0
65,22.5,0,87,0,0,0,1,3,9,100,0.05,3.15,2.25,5.45,0,1,12,0
65,30,81,15,0,0,0,1,2,1,100,0.05,0.13,0,0.18,1,1,11,0
66,22.5,1,83,0,0,0,0,5,11,100,0.05,0.45,1.35,1.85,0,2,6,0
39,22.5m,3,93,0,0,0,2,0,2,100,0.05,0.1,0,0.15,0,5,15,0
49,22.5m,0,91,0,0,0,0,5,4,100,0.05,0.23,0.05,0.33,0,0,7,0
50,30m,0,98,0,0,0,1,0,1,100,0.05,0,0,0.05,3,2,15,0
41,7.5m,0,93,0,0,0,2,3,2,100,0.05,0.32,,0.37,1,3,35,0
42,22.5m,0,74,0,0,0,0,6,20,100,0.05,0.23,2.25,2.53,,3,20,
43,30,95,4,0,0,0,0,1,0,100,0.03,0,0,0.03,0,5,0,0
66,0,4,83,0,0,0,0,13,0,100,0.03,0,0,0.03,2,3,0,0
66,30,29,69,0,0,0,0,1,1,100,0.02,0.05,0,0.07,0,2,1,0
51,0m,35,62,0,0,0,0,2,1,100,0.02,0.03,0,0.05,4,3,4,0
28,7.5,93,2,3,0,1,0,1,0,100,0,0,0,0,0,7,2,0
28,22.5,94,5,0,0,0,0,1,0,100,0,0,0,0,0,2,1,0
43,22.5,89,6,4,0,0,0,0,1,100,0,0,0,0,0,6,0,0
44,30,0,97,0,0,0,1,1,1,100,0,0,1.35,1.35,0,0,89,0
47,0,76,15,1,0,0,0,8,0,100,0,0,0,0,0,5,5,0
60,30,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0
49,30m,50,46,0,0,0,2,1,1,100,0,0.05,0,0.05,2,6,25,0
51,22.5m,3,91,0,0,0,0,2,4,100,0,0,0.32,0.32,80,4,10,0
52,30m,82,16,0,0,0,0,0,2,100,0,0.05,0,0.05,0,3,2,0
